pef_rule,rule_label,analysis_position,outcome,model,design_type,estimand,n_obs,events,event_rate,term,effect_ci,p_formatted
standing_full_effort_30_999,"Standing, complete, full effort: 30-999 L/min",strict posture sensitivity,death_w2_w4,svycox_death_plus_frailty,public_psu,survey_HR,9781,865,8.8%,resp_vulnerability_z,"1.28 (1.16, 1.41)",<0.001
standing_full_effort_30_999,"Standing, complete, full effort: 30-999 L/min",strict posture sensitivity,incident_chronic_lung_disease,svycox_cause_specific,public_county_community,survey_HR,8605,1036,12.0%,resp_vulnerability_z,"1.21 (1.07, 1.37)",0.003
standing_full_effort_30_999,"Standing, complete, full effort: 30-999 L/min",strict posture sensitivity,incident_chronic_lung_disease,svycox_plus_frailty,public_county_community,survey_HR,8603,1035,12.0%,resp_vulnerability_z,"1.17 (1.03, 1.34)",0.015
standing_full_effort_30_999,"Standing, complete, full effort: 30-999 L/min",strict posture sensitivity,incident_chronic_lung_disease,svycox_composite_disease_or_death,public_county_community,survey_HR,8605,1703,19.8%,resp_vulnerability_z,"1.26 (1.15, 1.38)",<0.001
standing_full_effort_30_999,"Standing, complete, full effort: 30-999 L/min",strict posture sensitivity,incident_asthma,svycox_cause_specific,public_county_community,survey_HR,9099,357,3.9%,resp_vulnerability_z,"1.24 (0.89, 1.74)",0.205
standing_full_effort_30_999,"Standing, complete, full effort: 30-999 L/min",strict posture sensitivity,incident_asthma,svycox_composite_disease_or_death,public_county_community,survey_HR,9099,1121,12.3%,resp_vulnerability_z,"1.31 (1.14, 1.50)",<0.001
standing_full_effort_30_999,"Standing, complete, full effort: 30-999 L/min",strict posture sensitivity,death_w2_w4,svycox_death,public_county_community,survey_HR,9783,865,8.8%,resp_vulnerability_z,"1.35 (1.23, 1.50)",<0.001
standing_full_effort_30_999,"Standing, complete, full effort: 30-999 L/min",strict posture sensitivity,death_w2_w4,svycox_death_plus_frailty,public_county_community,survey_HR,9781,865,8.8%,resp_vulnerability_z,"1.28 (1.16, 1.41)",<0.001
strict_quality_range_50_800,"Strict: 50-800 L/min, complete, full effort, standing/sitting",combined strict sensitivity,incident_chronic_lung_disease,svycox_cause_specific,public_psu,survey_HR,10394,1239,11.9%,resp_vulnerability_z,"1.22 (1.07, 1.38)",0.002
strict_quality_range_50_800,"Strict: 50-800 L/min, complete, full effort, standing/sitting",combined strict sensitivity,incident_chronic_lung_disease,svycox_plus_frailty,public_psu,survey_HR,10391,1238,11.9%,resp_vulnerability_z,"1.18 (1.04, 1.34)",0.010
strict_quality_range_50_800,"Strict: 50-800 L/min, complete, full effort, standing/sitting",combined strict sensitivity,incident_chronic_lung_disease,svycox_composite_disease_or_death,public_psu,survey_HR,10394,2065,19.9%,resp_vulnerability_z,"1.26 (1.15, 1.38)",<0.001
strict_quality_range_50_800,"Strict: 50-800 L/min, complete, full effort, standing/sitting",combined strict sensitivity,incident_asthma,svycox_cause_specific,public_psu,survey_HR,10982,426,3.9%,resp_vulnerability_z,"1.20 (0.88, 1.65)",0.250
strict_quality_range_50_800,"Strict: 50-800 L/min, complete, full effort, standing/sitting",combined strict sensitivity,incident_asthma,svycox_composite_disease_or_death,public_psu,survey_HR,10982,1371,12.5%,resp_vulnerability_z,"1.30 (1.13, 1.49)",<0.001
strict_quality_range_50_800,"Strict: 50-800 L/min, complete, full effort, standing/sitting",combined strict sensitivity,death_w2_w4,svycox_death,public_psu,survey_HR,11814,1075,9.1%,resp_vulnerability_z,"1.34 (1.22, 1.46)",<0.001
strict_quality_range_50_800,"Strict: 50-800 L/min, complete, full effort, standing/sitting",combined strict sensitivity,death_w2_w4,svycox_death_plus_frailty,public_psu,survey_HR,11810,1074,9.1%,resp_vulnerability_z,"1.23 (1.12, 1.34)",<0.001
strict_quality_range_50_800,"Strict: 50-800 L/min, complete, full effort, standing/sitting",combined strict sensitivity,incident_chronic_lung_disease,svycox_cause_specific,public_county_community,survey_HR,10394,1239,11.9%,resp_vulnerability_z,"1.22 (1.08, 1.37)",0.001
strict_quality_range_50_800,"Strict: 50-800 L/min, complete, full effort, standing/sitting",combined strict sensitivity,incident_chronic_lung_disease,svycox_plus_frailty,public_county_community,survey_HR,10391,1238,11.9%,resp_vulnerability_z,"1.18 (1.04, 1.34)",0.011
strict_quality_range_50_800,"Strict: 50-800 L/min, complete, full effort, standing/sitting",combined strict sensitivity,incident_chronic_lung_disease,svycox_composite_disease_or_death,public_county_community,survey_HR,10394,2065,19.9%,resp_vulnerability_z,"1.26 (1.16, 1.38)",<0.001
strict_quality_range_50_800,"Strict: 50-800 L/min, complete, full effort, standing/sitting",combined strict sensitivity,incident_asthma,svycox_cause_specific,public_county_community,survey_HR,10982,426,3.9%,resp_vulnerability_z,"1.20 (0.89, 1.62)",0.221
strict_quality_range_50_800,"Strict: 50-800 L/min, complete, full effort, standing/sitting",combined strict sensitivity,incident_asthma,svycox_composite_disease_or_death,public_county_community,survey_HR,10982,1371,12.5%,resp_vulnerability_z,"1.30 (1.15, 1.46)",<0.001
strict_quality_range_50_800,"Strict: 50-800 L/min, complete, full effort, standing/sitting",combined strict sensitivity,death_w2_w4,svycox_death,public_county_community,survey_HR,11814,1075,9.1%,resp_vulnerability_z,"1.34 (1.22, 1.47)",<0.001
strict_quality_range_50_800,"Strict: 50-800 L/min, complete, full effort, standing/sitting",combined strict sensitivity,death_w2_w4,svycox_death_plus_frailty,public_county_community,survey_HR,11810,1074,9.1%,resp_vulnerability_z,"1.23 (1.12, 1.35)",<0.001
