outcome,model,design_type,estimand,n_obs,events,event_rate,term,estimate,std.error,statistic,p.value,p_formatted,effect,effect_low,effect_high
incident_asthma,svycox_plus_frailty,public_psu,survey_HR,11650,461,0.039570815450643775,sexmale,-0.15827325740880935,0.17908706389415416,-0.8837782806152521,0.3768159131446263,0.377,0.8536164930649609,0.600925746112585,1.2125643175488205
incident_asthma,svycox_plus_frailty,public_psu,survey_HR,11650,461,0.039570815450643775,smoke_everyes,0.6990392621427565,0.18468709283010354,3.784992505057261,1.537132109776413e-4,<0.001,2.0118189480759527,1.4008126887927816,2.8893338218727087
incident_asthma,svycox_plus_frailty,public_psu,survey_HR,11650,461,0.039570815450643775,bmi_w1,-4.875849156278798e-4,0.0012659633253890112,-0.38514932135024715,0.7001267880975783,0.700,0.9995125339345798,0.997035529712012,1.0019956919498016
incident_asthma,svycox_composite_disease_or_death,public_psu,survey_HR,11656,1515,0.12997597803706246,resp_vulnerability_z,0.2624015724117131,0.06831543979701014,3.841028809759594,1.225197324806342e-4,<0.001,1.3000485012322236,1.137125185635085,1.4863148991042836
incident_asthma,svycox_composite_disease_or_death,public_psu,survey_HR,11656,1515,0.12997597803706246,age_decade,0.8117641101463311,0.03797765034663459,21.374784978456837,2.293772276075308e-101,<0.001,2.2518770438614752,2.0903424734908214,2.4258944574770713
incident_asthma,svycox_composite_disease_or_death,public_psu,survey_HR,11656,1515,0.12997597803706246,sexmale,0.15513952581839358,0.13841610552309433,1.12081990193337,0.2623645308861612,0.262,1.1678208909039445,0.8903362834874712,1.5317870994649565
incident_asthma,svycox_composite_disease_or_death,public_psu,survey_HR,11656,1515,0.12997597803706246,smoke_everyes,0.4183972306063567,0.10427134269694262,4.012581211526153,6.0058407026988875e-5,<0.001,1.5195241560354926,1.2386541148711283,1.864082662830861
incident_asthma,svycox_composite_disease_or_death,public_psu,survey_HR,11656,1515,0.12997597803706246,bmi_w1,-0.0010423408447607612,0.0012148895045081222,-0.8579717257354845,0.3909080762221522,0.391,0.9989582022037606,0.9965823293037692,1.0013397392339207
incident_asthma,svycox_raw_pef_sensitivity,public_psu,survey_HR,11656,462,0.03963623884694578,pef_per_100_l_min,-0.18281727822659802,0.14351300550884352,-1.2738725495880754,0.2027085882515365,0.203,0.8329203345141045,0.628698940370543,1.1034793270658312
incident_asthma,svycox_raw_pef_sensitivity,public_psu,survey_HR,11656,462,0.03963623884694578,age_decade,0.20638975301744789,0.1081614614710714,1.9081635012175606,0.056370087391042066,0.056,1.2292322076047553,0.994408976807311,1.519507421447637
