outcome,model,design_type,estimand,n_obs,events,event_rate,term,estimate,std.error,statistic,p.value,p_formatted,effect,effect_low,effect_high
incident_chronic_lung_disease_w2_w5,svycox_cause_specific,public_county_community,survey_HR,11066,1647,0.14883426712452558,bmi_w1,-0.015038015779675246,0.0148501336278042,-1.0126518829109572,0.31122646857127834,0.311,0.9850744905164439,0.9568159003259846,1.0141676695962394
incident_chronic_lung_disease_w2_w5,svycox_plus_frailty,public_county_community,survey_HR,11062,1646,0.1487976857711083,resp_vulnerability_z,0.15107124005758224,0.056072372757461734,2.694218785979209,0.007055383539166171,0.007,1.1630795129819689,1.0420285992513645,1.2981927314569361
incident_chronic_lung_disease_w2_w5,svycox_plus_frailty,public_county_community,survey_HR,11062,1646,0.1487976857711083,frailty_proxy_count_w1,0.18675732408785606,0.030644727505236082,6.094272629963701,1.0993616387136073e-9,<0.001,1.2053347438466069,1.13506924533441,1.2799499684230609
incident_chronic_lung_disease_w2_w5,svycox_plus_frailty,public_county_community,survey_HR,11062,1646,0.1487976857711083,age_decade,0.15128599930992187,0.05244775810976632,2.884508409173563,0.003920252885819885,0.004,1.1633293218920155,1.0496831885122404,1.2892795902465344
incident_chronic_lung_disease_w2_w5,svycox_plus_frailty,public_county_community,survey_HR,11062,1646,0.1487976857711083,sexmale,0.16715787586959852,0.12585383515279522,1.3281905606345437,0.18411516196398608,0.184,1.1819408505189124,0.9235635743701718,1.5126020697362925
incident_chronic_lung_disease_w2_w5,svycox_plus_frailty,public_county_community,survey_HR,11062,1646,0.1487976857711083,smoke_everyes,0.3262637934323644,0.10710070721334188,3.0463271618034717,0.002316556212791023,0.002,1.3857808805558611,1.123384953481152,1.7094662368080202
incident_chronic_lung_disease_w2_w5,svycox_plus_frailty,public_county_community,survey_HR,11062,1646,0.1487976857711083,bmi_w1,-0.011438224571147244,0.01451842299785061,-0.7878420798760736,0.43078908382567643,0.431,0.9886269432149435,0.9608909676324,1.017163513628148
incident_chronic_lung_disease_w2_w5,svycox_composite_disease_or_death,public_county_community,survey_HR,11066,2879,0.26016627507681184,resp_vulnerability_z,0.2226149514054873,0.03867670114195556,5.755789527871598,8.623777823032724e-9,<0.001,1.2493394247194949,1.1581322951794757,1.3477294473655563
incident_chronic_lung_disease_w2_w5,svycox_composite_disease_or_death,public_county_community,survey_HR,11066,2879,0.26016627507681184,age_decade,0.5926998803007442,0.031777974801645806,18.651279195741818,1.2329183387216066e-77,<0.001,1.808865549059313,1.6996375963003474,1.92511308392795
incident_chronic_lung_disease_w2_w5,svycox_composite_disease_or_death,public_county_community,survey_HR,11066,2879,0.26016627507681184,sexmale,0.18767254335129607,0.11316508841846933,1.6583961182207376,0.09723753959185155,0.097,1.206438394387149,0.9664448631197391,1.5060285951058046
incident_chronic_lung_disease_w2_w5,svycox_composite_disease_or_death,public_county_community,survey_HR,11066,2879,0.26016627507681184,smoke_everyes,0.33408983464673586,0.10337734316740568,3.2317510240684206,0.0012303420563837227,0.001,1.3966686071698642,1.1405039681443505,1.7103694969405978
incident_chronic_lung_disease_w2_w5,svycox_composite_disease_or_death,public_county_community,survey_HR,11066,2879,0.26016627507681184,bmi_w1,-0.005338890745313089,0.013991810358207278,-0.3815725491291709,0.7027784489191184,0.703,0.9946753358026269,0.9677680491674099,1.0223307377271351
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_county_community,survey_OR,39396,1647,0.04180627474870545,(Intercept),-5.9013440919520805,0.5516135164698354,-10.698331197028947,1.0362765817700065e-26,<0.001,0.0027357652264434667,9.279742399546062e-4,0.008065322346214468
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_county_community,survey_OR,39396,1647,0.04180627474870545,resp_vulnerability_z,0.20310315824000894,0.05539571404849262,3.6664056367648827,2.459836299558401e-4,<0.001,1.2251988510858105,1.0991394535755201,1.365715896939961
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_county_community,survey_OR,39396,1647,0.04180627474870545,age_decade,0.2838735745950479,0.053953475595010916,5.261451119958948,1.4292288700716288e-7,<0.001,1.3282649936975515,1.1949743998434128,1.4764231716709122
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_county_community,survey_OR,39396,1647,0.04180627474870545,sexmale,0.11645031321754308,0.13458777300033806,0.8652369425657306,0.3869087527739615,0.387,1.1235016858964868,0.8629990213892687,1.4626390145613948
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_county_community,survey_OR,39396,1647,0.04180627474870545,smoke_everyes,0.3652133937919714,0.11178549228936678,3.267091161047837,0.001086586850825456,0.001,1.4408214376964157,1.1573279179227265,1.7937581762061807
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_county_community,survey_OR,39396,1647,0.04180627474870545,bmi_w1,-0.017051153580158688,0.015571834272121042,-1.0949996822587649,0.27351677568484123,0.274,0.9830933946018987,0.9535418645159265,1.013560765893087
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_county_community,survey_OR,39396,1647,0.04180627474870545,factor(interval)2,1.26987895477031,0.13832166328973258,9.180622359278493,4.2860702678335145e-20,<0.001,3.560421564224878,2.714936310475732,4.669207769657121
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_county_community,survey_OR,39396,1647,0.04180627474870545,factor(interval)3,1.8398189910439273,0.1333742583929636,13.79440840543028,2.7540285281506343e-43,<0.001,6.295398634353585,4.847220484044257,8.176241228530658
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_county_community,survey_OR,39396,1647,0.04180627474870545,factor(interval)4,1.1850559648089176,0.1508547192230688,7.855610821538674,3.9782855650545626e-15,<0.001,3.2708698699510337,2.4336220792009615,4.3961590411220275
