outcome,model,estimand,n_obs,events,event_rate,term,estimate,std.error,statistic,p.value,p_formatted,effect,effect_low,effect_high
death_w2_w4,cox_death_plus_frailty,HR,12562,1197,0.0952873746218755,resp_vulnerability_z,0.24642715816523855,0.030957456207468818,7.9601875720585005,1.7177867191730437e-15,<0.001,1.2794459826303402,1.2041218474880153,1.3594820373734726
death_w2_w4,cox_death_plus_frailty,HR,12562,1197,0.0952873746218755,frailty_proxy_count_w1,0.2815360948128566,0.025202095087267496,11.17113850407989,5.645260870535224e-29,<0.001,1.3251638269986366,1.2612962833716161,1.3922653951627353
death_w2_w4,cox_death_plus_frailty,HR,12562,1197,0.0952873746218755,age_decade,0.8241351273487568,0.03304150194947723,24.94242327751678,2.580429411390736e-137,<0.001,2.279908082244762,2.1369376158772657,2.4324438976900544
death_w2_w4,cox_death_plus_frailty,HR,12562,1197,0.0952873746218755,sexmale,0.3657709358740926,0.07824192524985348,4.6748713647582125,2.9413792658008828e-6,<0.001,1.4416249802643368,1.23666317238726,1.6805567030109123
death_w2_w4,cox_death_plus_frailty,HR,12562,1197,0.0952873746218755,smoke_everyes,0.37379285824311026,0.07674800360277118,4.870391941108596,1.1137709858601485e-6,<0.001,1.4532360933996227,1.2502790559785968,1.6891390230530663
death_w2_w4,cox_death_plus_frailty,HR,12562,1197,0.0952873746218755,bmi_w1,-4.6598187002680925e-4,0.0027640450766727954,-0.16858692861396185,0.8661215628453516,0.866,0.999534126682663,0.9941337637321889,1.0049638256451112
death_w2_w4,cox_death_raw_pef_sensitivity,HR,12569,1198,0.0953138674516668,pef_per_100_l_min,-0.2858548634641148,0.028507423664244948,-10.027383282013114,1.1553794835561186e-23,<0.001,0.7513716595134159,0.7105404411049461,0.7945492445750316
death_w2_w4,cox_death_raw_pef_sensitivity,HR,12569,1198,0.0953138674516668,age_decade,0.8029548920057619,0.03433665852619164,23.3847708679421,6.10644796226706e-121,<0.001,2.2321268871968836,2.086848516844975,2.3875189791350695
death_w2_w4,cox_death_raw_pef_sensitivity,HR,12569,1198,0.0953138674516668,sexmale,0.6031274184392492,0.0955817710985708,6.310067406234404,2.789139638245876e-10,<0.001,1.8278262484625996,1.5155632424833663,2.204427173289358
death_w2_w4,cox_death_raw_pef_sensitivity,HR,12569,1198,0.0953138674516668,smoke_everyes,0.3720079132573768,0.07750105465874327,4.800036785246623,1.5863648949509172e-6,<0.001,1.4506444605707183,1.246208629962707,1.688617218970377
death_w2_w4,cox_death_raw_pef_sensitivity,HR,12569,1198,0.0953138674516668,bmi_w1,-0.002723057881433163,0.005701345498248486,-0.4776167103484108,0.6329230351242379,0.633,0.9972806462777036,0.9861984320755068,1.0084873947192876
death_w2_w4,cox_death_raw_pef_sensitivity,HR,12569,1198,0.0953138674516668,height_m_w1,-0.6034765518764925,0.45549951905344105,-1.3248675940000063,0.18521507074382543,0.185,0.5469069767126706,0.22396721281069998,1.3354956621699934
death_w2_w4,cox_weighted_death,HR,12569,1198,0.0953138674516668,resp_vulnerability_z,0.2803007641471048,0.04569145911036378,6.1346424387556215,8.535094188806693e-10,<0.001,1.3235278221975013,1.210151434540808,1.4475261906337806
death_w2_w4,cox_weighted_death,HR,12569,1198,0.0953138674516668,age_decade,0.9937786781248088,0.048878840007202995,20.331470181746568,6.77420961086337e-92,<0.001,2.701423018674205,2.454630281431898,2.973028720873507
death_w2_w4,cox_weighted_death,HR,12569,1198,0.0953138674516668,sexmale,0.2873587823643466,0.13973025898945707,2.0565250822731844,0.03973193116470952,0.040,1.3329023495535666,1.013578841037264,1.7528273100366554
death_w2_w4,cox_weighted_death,HR,12569,1198,0.0953138674516668,smoke_everyes,0.30928951501733265,0.14001538706848266,2.2089680391059923,0.0271768640357151,0.027,1.3624567651030512,1.0354740657194657,1.792694282000476
death_w2_w4,cox_weighted_death,HR,12569,1198,0.0953138674516668,bmi_w1,-0.0022429196216862957,0.006828837337926002,-0.32844824245989385,0.7425727720056111,0.743,0.9977595938430107,0.9844940340454786,1.011203900357797
