outcome,model,estimand,n_obs,events,event_rate,term,estimate,std.error,statistic,p.value,p_formatted,effect,effect_low,effect_high
incident_chronic_lung_disease,discrete_time_plus_frailty,OR,30675,1329,0.04332518337408313,smoke_everyes,0.38919538185557284,0.07879798621293997,4.9391539119265,7.846226581683017e-7,<0.001,1.4757928663150415,1.2645942615564565,1.7222635358045495
incident_chronic_lung_disease,discrete_time_plus_frailty,OR,30675,1329,0.04332518337408313,bmi_w1,6.674321091579242e-4,0.001557850015646223,0.42843155788720894,0.6683369530029599,0.668,1.0006676548915294,0.9976168902041151,1.0037277489771017
incident_chronic_lung_disease,discrete_time_plus_frailty,OR,30675,1329,0.04332518337408313,factor(interval)2,1.274121407042004,0.09829328875737307,12.962445586565348,1.9977520498928152e-38,<0.001,3.575558569085056,2.9490012717400496,4.335236882896984
incident_chronic_lung_disease,discrete_time_plus_frailty,OR,30675,1329,0.04332518337408313,factor(interval)3,1.931040677459516,0.09402609405606457,20.53728485528817,9.999886620822077e-94,<0.001,6.896683731594079,5.735927897856581,8.292336887883195
incident_chronic_lung_disease,discrete_time_weighted,OR,30685,1330,0.043343653250773995,(Intercept),-5.706573866181317,2.4411852816154203,-2.3376242308019615,0.019413144242758328,0.019,0.003324041669285703,2.7777144431962262e-5,0.39778217830172874
incident_chronic_lung_disease,discrete_time_weighted,OR,30685,1330,0.043343653250773995,resp_vulnerability_z,0.2323469705514524,0.2527460198675854,0.9192903242281714,0.35795096552339756,0.358,1.2615573761570653,0.7687148162495636,2.070373797530148
incident_chronic_lung_disease,discrete_time_weighted,OR,30685,1330,0.043343653250773995,age_decade,0.2641928715532171,0.26458971749262133,0.998500146025458,0.3180447694851729,0.318,1.3023793640093768,0.7753792808234903,2.187564266607732
incident_chronic_lung_disease,discrete_time_weighted,OR,30685,1330,0.043343653250773995,sexmale,0.027776235081652542,0.7132144755421786,0.03894513646899458,0.9689343835719307,0.969,1.0281655912894172,0.2540754174397977,4.160672031020076
incident_chronic_lung_disease,discrete_time_weighted,OR,30685,1330,0.043343653250773995,smoke_everyes,0.5043604355758738,0.7112037440687509,0.7091644831486126,0.4782278004000853,0.478,1.6559261102873126,0.4108204986627523,6.674670060663859
incident_chronic_lung_disease,discrete_time_weighted,OR,30685,1330,0.043343653250773995,bmi_w1,-0.020678506212971407,0.05980323580616487,-0.34577570819068865,0.7295136534974095,0.730,0.9795338279933146,0.871192036371351,1.1013490483448924
incident_chronic_lung_disease,discrete_time_weighted,OR,30685,1330,0.043343653250773995,factor(interval)2,1.2723226455129142,0.8652598066605454,1.4704515750285692,0.14144974793593168,0.141,3.569132772856082,0.6546944926824013,19.457485732135247
incident_chronic_lung_disease,discrete_time_weighted,OR,30685,1330,0.043343653250773995,factor(interval)3,1.84586620194149,0.8319044792293846,2.2188439274318674,0.026504633848338278,0.027,6.333583577417062,1.240275363933529,32.34304421310505
incident_asthma,discrete_time_death_censored,OR,32865,462,0.014057507987220448,(Intercept),-8.216643064565172,0.35382903571769875,-23.222071212722046,2.725331247309483e-119,<0.001,2.701203210897983e-4,1.3501185418920836e-4,5.404339367371485e-4
incident_asthma,discrete_time_death_censored,OR,32865,462,0.014057507987220448,resp_vulnerability_z,0.4161912758200817,0.048688367498608796,8.548063884704572,1.2517043351220407e-17,<0.001,1.5161758489154886,1.378177639688281,1.667991947217013
incident_asthma,discrete_time_death_censored,OR,32865,462,0.014057507987220448,age_decade,0.36223559640742364,0.04947208404436817,7.322020153478051,2.4426545674568625e-13,<0.001,1.436537345133144,1.3037833560198997,1.5828086272415065
incident_asthma,discrete_time_death_censored,OR,32865,462,0.014057507987220448,sexmale,-0.29586417056217634,0.1309965252526843,-2.2585650267552704,0.02391045536014114,0.024,0.7438884631100022,0.5754416994872097,0.9616439789491844
incident_asthma,discrete_time_death_censored,OR,32865,462,0.014057507987220448,smoke_everyes,0.6168280821293355,0.13084532894165626,4.7141773200354615,2.4268925719459336e-6,<0.001,1.8530410162867295,1.4338616188317868,2.3947645734729623
incident_asthma,discrete_time_death_censored,OR,32865,462,0.014057507987220448,bmi_w1,0.002145936940939938,0.001089604458718581,1.9694641700196849,0.04889981315692095,0.049,1.002148241111524,1.0000103122550223,1.004290740660687
incident_asthma,discrete_time_death_censored,OR,32865,462,0.014057507987220448,factor(interval)2,1.7493135978110217,0.18488394070744804,9.46168494200941,3.030203837814756e-21,<0.001,5.750654059456773,4.002587688273642,8.2621605538916
incident_asthma,discrete_time_death_censored,OR,32865,462,0.014057507987220448,factor(interval)3,2.1069768693245297,0.18182247003623336,11.58809947364951,4.735228869914122e-31,<0.001,8.223343427081327,5.758084273918905,11.7440756166109
incident_asthma,discrete_time_plus_frailty,OR,32849,461,0.014033912752290784,(Intercept),-8.024801822709131,0.3566189503431508,-22.502454833057516,3.9271449177613605e-112,<0.001,3.2724487218489036e-4,1.6267194941711093e-4,6.583139057165621e-4
incident_asthma,discrete_time_plus_frailty,OR,32849,461,0.014033912752290784,resp_vulnerability_z,0.38582793416935135,0.049609710151482626,7.777266446250756,7.410841436161602e-15,<0.001,1.4708315691846006,1.334548326336151,1.6210319718052102
incident_asthma,discrete_time_plus_frailty,OR,32849,461,0.014033912752290784,frailty_proxy_count_w1,0.19622895713182473,0.043982490266862406,4.461524482611411,8.137864679381866e-6,<0.001,1.2168054697337853,1.1163040534826816,1.3263550791155738
incident_asthma,discrete_time_plus_frailty,OR,32849,461,0.014033912752290784,age_decade,0.28956599411841216,0.05243195923170098,5.522700245451388,3.338289923686107e-8,<0.001,1.335847596482626,1.2053854050538946,1.4804300712008551
incident_asthma,discrete_time_plus_frailty,OR,32849,461,0.014033912752290784,sexmale,-0.20152993004367134,0.1322999025938203,-1.523281016029144,0.1276884145606162,0.128,0.8174791100084802,0.6307550159542431,1.0594796369383692
incident_asthma,discrete_time_plus_frailty,OR,32849,461,0.014033912752290784,smoke_everyes,0.5984357205423065,0.1306785363427615,4.579449214005946,4.662019665816539e-6,<0.001,1.8192707255548235,1.4081908413893227,2.35035328705545
incident_asthma,discrete_time_plus_frailty,OR,32849,461,0.014033912752290784,bmi_w1,0.0023130397656389717,0.001084387880464289,2.13303727135776,0.032921668847051826,0.033,1.0023157169058303,1.0001876571253248,1.0044483044750934
incident_asthma,discrete_time_plus_frailty,OR,32849,461,0.014033912752290784,factor(interval)2,1.7542239107095678,0.1849315755803998,9.485799843558416,2.4053126037234534e-21,<0.001,5.778961011379445,4.0219144578826604,8.303605340384411
incident_asthma,discrete_time_plus_frailty,OR,32849,461,0.014033912752290784,factor(interval)3,2.1137871141438773,0.18195123407635944,11.617327713516824,3.3649738207758044e-31,<0.001,8.279537539698058,5.795969112594223,11.827313179139194
incident_asthma,discrete_time_weighted,OR,32865,462,0.014057507987220448,(Intercept),-8.06211476934483,0.32813031057444503,-24.569856881648022,4.144394836548794e-132,<0.001,3.1525939893249226e-4,1.6571349771961395e-4,5.997609729018026e-4
incident_asthma,discrete_time_weighted,OR,32865,462,0.014057507987220448,resp_vulnerability_z,0.22300799691471349,0.04602843422698444,4.845005063934453,1.2718482559437974e-6,<0.001,1.2498305684844828,1.1420127386196852,1.367827518111819
incident_asthma,discrete_time_weighted,OR,32865,462,0.014057507987220448,age_decade,0.42339636777633,0.046293681545346105,9.145878090546764,6.245481421688318e-20,<0.001,1.5271394849016133,1.3946740777399238,1.6721863864601498
incident_asthma,discrete_time_weighted,OR,32865,462,0.014057507987220448,sexmale,-0.1920862027924922,0.13027287910012272,-1.4744911152601619,0.14035898913012318,0.140,0.8252357278012625,0.6392746876610158,1.0652916806879682
incident_asthma,discrete_time_weighted,OR,32865,462,0.014057507987220448,smoke_everyes,0.7565633752465433,0.1298472636905589,5.82656387006754,5.7107350978293116e-9,<0.001,2.1309403799931887,1.6521256613742097,2.748523922392482
incident_asthma,discrete_time_weighted,OR,32865,462,0.014057507987220448,bmi_w1,-6.106332179987043e-4,0.0017856331886887229,-0.3419701324251942,0.7323755566785,0.732,0.9993895531805225,0.9958979621683149,1.002893385615305
incident_asthma,discrete_time_weighted,OR,32865,462,0.014057507987220448,factor(interval)2,1.2438428676045168,0.14734739600429408,8.441566673959192,3.257790532755231e-17,<0.001,3.4689184781289417,2.5987796551447815,4.630402344455023
incident_asthma,discrete_time_weighted,OR,32865,462,0.014057507987220448,factor(interval)3,1.4410234024471782,0.14607730714621983,9.864799883015017,6.36564123092354e-23,<0.001,4.2250174984569595,3.1731090510287383,5.625641153580962
