group,variable,variable_label,type,level,n_unweighted,estimate,se,ci_low,ci_high,display,events_unweighted
Overall,low_physical_activity,Low physical activity,binary,yes,7061,0.24949104212390794,0.011442328861709584,0.22706448965569398,0.2719175945921219,24.9% (SE 1.1),2069
Overall,sex,Sex,categorical,female,7062,0.5207740112569245,0.006711666517994096,0.5076193866054127,0.5339286359084362,52.1% (SE 0.7),3549
Overall,sex,Sex,categorical,male,7062,0.4792259887430707,0.006711666517994114,0.4660713640915589,0.4923806133945825,47.9% (SE 0.7),3513
Overall,race_ethnicity,Race/ethnicity,categorical,Mexican American,7062,0.05225939656247035,0.008206702177806686,0.03617455586212282,0.06834423726281788,5.2% (SE 0.8),977
Overall,race_ethnicity,Race/ethnicity,categorical,Non-Hispanic Black,7062,0.10437359318129902,0.011254824208134222,0.08231454308102643,0.1264326432815716,10.4% (SE 1.1),1646
Overall,race_ethnicity,Race/ethnicity,categorical,Non-Hispanic White,7062,0.743453295834606,0.019962124970112512,0.7043282498382978,0.7825783418309141,74.3% (SE 2.0),3148
Overall,race_ethnicity,Race/ethnicity,categorical,Other Hispanic,7062,0.042092890527270645,0.006386279299420406,0.029576013105192964,0.054609767949348326,4.2% (SE 0.6),777
Overall,race_ethnicity,Race/ethnicity,categorical,Other/Multi-Racial,7062,0.05782082389435031,0.006714742684298622,0.04466017006767121,0.07098147772102942,5.8% (SE 0.7),514
Overall,education,Education,categorical,<9th grade,7055,0.05940975613953924,0.0052310692035872726,0.04915704889987157,0.06966246337920692,5.9% (SE 0.5),908
Overall,education,Education,categorical,9-11th grade,7055,0.11578839623914973,0.007881115105373636,0.10034169447460281,0.13123509800369665,11.6% (SE 0.8),1111
Overall,education,Education,categorical,College graduate+,7055,0.30494402716885916,0.013855974564464626,0.27778681605180544,0.33210123828591287,30.5% (SE 1.4),1564
Overall,education,Education,categorical,High school/GED,7055,0.23353559634893778,0.009462253548017703,0.21498992018223675,0.25208127251563883,23.4% (SE 0.9),1621
Overall,education,Education,categorical,Some college/AA,7055,0.2863222241035088,0.009078142866102151,0.2685293910394394,0.30411505716757825,28.6% (SE 0.9),1851
Overall,smoking_status,Smoking status,categorical,current,7057,0.18244658821051118,0.006927853575940487,0.1688682447115008,0.19602493170952157,18.2% (SE 0.7),1366
Overall,smoking_status,Smoking status,categorical,former,7057,0.3114470749082261,0.009138905517966697,0.293535149234897,0.3293590005815552,31.1% (SE 0.9),2174
Overall,smoking_status,Smoking status,categorical,never,7057,0.5061063368812582,0.009295420689889746,0.4878876471079258,0.5243250266545906,50.6% (SE 0.9),3517
Overall,cycle,NHANES cycle,categorical,2007-2008,7062,0.31118816504334157,0.02034830511779311,0.27130621986603504,0.3510701102206481,31.1% (SE 2.0),2335
Overall,cycle,NHANES cycle,categorical,2009-2010,7062,0.3334539935755201,0.021193189321740982,0.29191610578736893,0.37499188136367123,33.3% (SE 2.1),2509
Overall,cycle,NHANES cycle,categorical,2011-2012,7062,0.3553578413811327,0.024785794270876026,0.3067785772819965,0.4039371054802689,35.5% (SE 2.5),2218
