group,variable,variable_label,type,level,n_unweighted,estimate,se,ci_low,ci_high,display,events_unweighted
Q3,wbc_1000_ul,"White blood cells, 1000/uL",continuous,NA,1633,7.004227548494416,0.05882615106349564,6.888930411060852,7.11952468592798,7.0 (SE 0.1),NA
Q3,hba1c_percent,"HbA1c, percent",continuous,NA,1637,5.837481359172077,0.04181425552399999,5.755526924304682,5.919435794039472,5.8 (SE 0.0),NA
Q3,albumin_g_dl,"Albumin, g/dL",continuous,NA,1618,4.245500366034961,0.009910137088091343,4.226076854260447,4.264923877809475,4.2 (SE 0.0),NA
Q3,obstruction_fixed_ratio_abc,"Spirometric obstruction, A/B/C quality",binary,yes,1664,0.23546247842483906,0.01419615964072822,0.20763851681023068,0.26328644003944746,23.5% (SE 1.4),321
Q3,obstruction_fixed_ratio_ab,"Spirometric obstruction, strict A/B quality",binary,yes,1493,0.23244864933654144,0.015639865425704242,0.20179507637910793,0.26310222229397495,23.2% (SE 1.6),291
Q3,current_asthma,Current asthma,binary,yes,1700,0.08249100184872576,0.009149933580331714,0.06455746157034198,0.10042454212710955,8.2% (SE 0.9),136
Q3,self_reported_emphysema_or_bronchitis,Self-reported emphysema or chronic bronchitis,binary,yes,1706,0.07775062474605485,0.013484705399392364,0.05132108782111301,0.10418016167099668,7.8% (SE 1.3),112
Q3,nhanes_frailty_proxy_ge2,NHANES frailty proxy >=2 components,binary,yes,1025,0.2984943432210717,0.01738621364076303,0.2644179906576572,0.3325706957844862,29.8% (SE 1.7),324
Q3,depressive_symptoms_phq9_ge10,PHQ-9 >=10,binary,yes,1576,0.08664921802911707,0.00880874538878651,0.06938439431811225,0.10391404174012189,8.7% (SE 0.9),144
Q3,low_physical_activity,Low physical activity,binary,yes,1709,0.26553221954065875,0.02177216786384436,0.22285955466216345,0.30820488441915406,26.6% (SE 2.2),509
Q3,sex,Sex,categorical,female,1709,0.6113738512031661,0.013678781657927932,0.5845639318012403,0.6381837706050919,61.1% (SE 1.4),1027
Q3,sex,Sex,categorical,male,1709,0.38862614879683466,0.01367878165792793,0.3618162293949088,0.4154360681987605,38.9% (SE 1.4),682
Q3,race_ethnicity,Race/ethnicity,categorical,Mexican American,1709,0.049800571237985786,0.008402042151314057,0.0333328712248228,0.06626827125114877,5.0% (SE 0.8),228
Q3,race_ethnicity,Race/ethnicity,categorical,Non-Hispanic Black,1709,0.10649290434414348,0.013531439460901639,0.07997177034179219,0.13301403834649478,10.6% (SE 1.4),394
Q3,race_ethnicity,Race/ethnicity,categorical,Non-Hispanic White,1709,0.7331791313510597,0.022812065934166,0.6884683037071413,0.7778899589949781,73.3% (SE 2.3),750
Q3,race_ethnicity,Race/ethnicity,categorical,Other Hispanic,1709,0.044178938678120235,0.00735743252958703,0.029758635901446236,0.05859924145479423,4.4% (SE 0.7),196
Q3,race_ethnicity,Race/ethnicity,categorical,Other/Multi-Racial,1709,0.06634845438869202,0.007960543415719628,0.050746075996514095,0.08195083278086995,6.6% (SE 0.8),141
Q3,education,Education,categorical,<9th grade,1708,0.06134085295038911,0.007539093560455761,0.04656450109581798,0.07611720480496025,6.1% (SE 0.8),237
Q3,education,Education,categorical,9-11th grade,1708,0.11762436294876918,0.012241875183186946,0.0936307284864881,0.14161799741105027,11.8% (SE 1.2),244
Q3,education,Education,categorical,College graduate+,1708,0.28117119669745666,0.015573370916321348,0.2506479505835833,0.31169444281133,28.1% (SE 1.6),359
Q3,education,Education,categorical,High school/GED,1708,0.23634959679179082,0.013230371083772136,0.21041854596549728,0.26228064761808434,23.6% (SE 1.3),394
Q3,education,Education,categorical,Some college/AA,1708,0.3035139906115944,0.015596412783455565,0.2729455832680014,0.3340823979551874,30.4% (SE 1.6),474
Q3,smoking_status,Smoking status,categorical,current,1709,0.17430238359228192,0.011272651292675483,0.1522083930483591,0.19639637413620475,17.4% (SE 1.1),299
Q3,smoking_status,Smoking status,categorical,former,1709,0.3016806512505195,0.015196068257088987,0.27189690476001277,0.33146439774102626,30.2% (SE 1.5),505
Q3,smoking_status,Smoking status,categorical,never,1709,0.5240169651572001,0.017470988196073643,0.48977445751857135,0.5582594727958288,52.4% (SE 1.7),905
Q3,cycle,NHANES cycle,categorical,2007-2008,1709,0.31104997036272614,0.01931663753139916,0.2731900564987691,0.3489098842266832,31.1% (SE 1.9),558
Q3,cycle,NHANES cycle,categorical,2009-2010,1709,0.31603651340714844,0.021331978090344542,0.2742266046310756,0.35784642218322127,31.6% (SE 2.1),587
Q3,cycle,NHANES cycle,categorical,2011-2012,1709,0.3729135162301267,0.0287487699799673,0.3165669624695645,0.4292600699906889,37.3% (SE 2.9),564
Q4,age_years,"Age, years",continuous,NA,2113,57.721646158022054,0.2768629136191622,57.179004818673675,58.26428749737043,57.7 (SE 0.3),NA
Q4,bmi,"Body mass index, kg/m2",continuous,NA,2106,29.537122491251775,0.23468794512756533,29.077142571196035,29.997102411307516,29.5 (SE 0.2),NA
Q4,height_cm,"Height, cm",continuous,NA,2113,168.93565273771887,0.3008623630131169,168.34597334190954,169.5253321335282,168.9 (SE 0.3),NA
Q4,pef_l_min,"Peak expiratory flow, L/min",continuous,NA,2113,340.9027140008903,3.355550114412798,334.32595662832193,347.47947137345864,340.9 (SE 3.4),NA
Q4,fev1_fvc,FEV1/FVC ratio,continuous,NA,2113,0.696882074058339,0.004207318199806617,0.6886358819152182,0.7051282662014599,0.7 (SE 0.0),NA
Q4,resp_vulnerability_z,Respiratory vulnerability z-score,continuous,NA,2113,1.1552950332901308,0.02101336836501285,1.1141095881008323,1.1964804784794294,1.2 (SE 0.0),NA
Q4,phq9_score,PHQ-9 score,continuous,NA,1947,3.523578127656309,0.1423328411102075,3.2446108852630404,3.802545370049578,3.5 (SE 0.1),NA
Q4,wbc_1000_ul,"White blood cells, 1000/uL",continuous,NA,1996,7.520068290491603,0.0794456418503936,7.364357693736164,7.675778887247043,7.5 (SE 0.1),NA
Q4,hba1c_percent,"HbA1c, percent",continuous,NA,1997,5.981380228986494,0.03031394812910458,5.921965982424234,6.040794475548755,6.0 (SE 0.0),NA
Q4,albumin_g_dl,"Albumin, g/dL",continuous,NA,1954,4.203017669458814,0.011386056918258433,4.180701407973104,4.225333930944523,4.2 (SE 0.0),NA
Q4,obstruction_fixed_ratio_abc,"Spirometric obstruction, A/B/C quality",binary,yes,1883,0.46173709385439343,0.016810566981296366,0.42878898801135434,0.4946851996974325,46.2% (SE 1.7),790
Q4,obstruction_fixed_ratio_ab,"Spirometric obstruction, strict A/B quality",binary,yes,1557,0.46431181008399164,0.017585488505839676,0.4298448859620028,0.49877873420598046,46.4% (SE 1.8),664
Q4,current_asthma,Current asthma,binary,yes,2103,0.12237122663037751,0.010875653454930221,0.10105533755037568,0.14368711571037934,12.2% (SE 1.1),240
Q4,self_reported_emphysema_or_bronchitis,Self-reported emphysema or chronic bronchitis,binary,yes,2101,0.14395410697662336,0.01331181857626718,0.11786342199840844,0.1700447919548383,14.4% (SE 1.3),272
Q4,nhanes_frailty_proxy_ge2,NHANES frailty proxy >=2 components,binary,yes,1385,0.41625048643480533,0.015557615196349744,0.3857581209646268,0.44674285190498386,41.6% (SE 1.6),583
Q4,depressive_symptoms_phq9_ge10,PHQ-9 >=10,binary,yes,1947,0.10793739195545818,0.007938806163711806,0.09237761779433845,0.1234971661165779,10.8% (SE 0.8),222
Q4,low_physical_activity,Low physical activity,binary,yes,2112,0.323310392552582,0.014917074447815088,0.2940734638801617,0.35254732122500226,32.3% (SE 1.5),755
Q4,sex,Sex,categorical,female,2113,0.48208854728746964,0.01898677742844676,0.444875147345236,0.5193019472297034,48.2% (SE 1.9),950
Q4,sex,Sex,categorical,male,2113,0.5179114527125328,0.01898677742844675,0.48069805277029914,0.5551248526547664,51.8% (SE 1.9),1163
Q4,race_ethnicity,Race/ethnicity,categorical,Mexican American,2113,0.04792002097211903,0.009944536818924368,0.02842908696409476,0.0674109549801433,4.8% (SE 1.0),230
Q4,race_ethnicity,Race/ethnicity,categorical,Non-Hispanic Black,2113,0.16738169090566948,0.01932287746814662,0.1295095469904216,0.20525383482091736,16.7% (SE 1.9),670
Q4,race_ethnicity,Race/ethnicity,categorical,Non-Hispanic White,2113,0.6701853182662324,0.027926623330819696,0.6154501423280098,0.724920494204455,67.0% (SE 2.8),842
Q4,race_ethnicity,Race/ethnicity,categorical,Other Hispanic,2113,0.0442690507539109,0.009088898157755562,0.02645513770555756,0.062082963802264246,4.4% (SE 0.9),201
Q4,race_ethnicity,Race/ethnicity,categorical,Other/Multi-Racial,2113,0.07024391910207102,0.010472737931202694,0.04971772993738723,0.0907701082667548,7.0% (SE 1.0),170
Q4,education,Education,categorical,<9th grade,2110,0.08780997741928352,0.008592245151906862,0.0709694863752072,0.10465046846335985,8.8% (SE 0.9),334
Q4,education,Education,categorical,9-11th grade,2110,0.174931280077691,0.011082574631744722,0.15320983294349408,0.1966527272118879,17.5% (SE 1.1),450
Q4,education,Education,categorical,College graduate+,2110,0.2006143143241994,0.01660682568295898,0.16806553408806502,0.2331630945603338,20.1% (SE 1.7),300
Q4,education,Education,categorical,High school/GED,2110,0.25898734789942796,0.016464576613523168,0.2267173707162221,0.2912573250826338,25.9% (SE 1.6),530
Q4,education,Education,categorical,Some college/AA,2110,0.27765708027940106,0.021132764987694477,0.23623762200977086,0.3190765385490313,27.8% (SE 2.1),496
Q4,smoking_status,Smoking status,categorical,current,2111,0.3354861833109581,0.018047282118987276,0.3001141603389093,0.37085820628300686,33.5% (SE 1.8),654
Q4,smoking_status,Smoking status,categorical,former,2111,0.3043415308680885,0.014290457469756674,0.27633274890476406,0.332350312831413,30.4% (SE 1.4),626
Q4,smoking_status,Smoking status,categorical,never,2111,0.3601722858209567,0.016799991478070396,0.3272449075833589,0.39309966405855445,36.0% (SE 1.7),831
Q4,cycle,NHANES cycle,categorical,2007-2008,2113,0.3492878504425536,0.024244164281881725,0.3017701616147931,0.39680553927031414,34.9% (SE 2.4),744
Q4,cycle,NHANES cycle,categorical,2009-2010,2113,0.31787533440688837,0.02167647513042638,0.27539022383947453,0.3603604449743022,31.8% (SE 2.2),696
Q4,cycle,NHANES cycle,categorical,2011-2012,2113,0.3328368151505608,0.025658052083903447,0.2825479571526572,0.3831256731484644,33.3% (SE 2.6),673
